task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
node.js-validation-medium,Validation: Medium Practical Task 10,"A medium-level, course-ready exercise focused on Validation in Node.js. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,Node.js,Intermediate,"node.js,validation,medium","{""step_1"": ""Review the theoretical foundations of Validation within Node.js."", ""step_2"": ""Implement a concise example demonstrating Validation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Validation in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=97528d7d9f9,https://nodejs.org/en/docs#9b0108ed
node.js-modules-hard,Modules: Hard Practical Task 2,"A hard-level, course-ready exercise focused on Modules in Node.js. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,Node.js,Advanced,"node.js,modules,hard","{""step_1"": ""Review the theoretical foundations of Modules within Node.js."", ""step_2"": ""Implement a concise example demonstrating Modules."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Modules in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=bcab60db549,https://nodejs.org/en/docs#f3059ded
node.js-middleware-hard,Middleware: Hard Practical Task 6,"A hard-level, course-ready exercise focused on Middleware in Node.js. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Node.js,Advanced,"node.js,middleware,hard","{""step_1"": ""Review the theoretical foundations of Middleware within Node.js."", ""step_2"": ""Implement a concise example demonstrating Middleware."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Middleware in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=a54d406c77b,https://nodejs.org/en/docs#38bf0495
node.js-validation-hard,Validation: Hard Practical Task 10,"A hard-level, course-ready exercise focused on Validation in Node.js. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Node.js,Advanced,"node.js,validation,hard","{""step_1"": ""Review the theoretical foundations of Validation within Node.js."", ""step_2"": ""Implement a concise example demonstrating Validation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Validation in Node.js."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=8a12ed9aa99,https://nodejs.org/en/docs#17646104
database-design-relational-basics,Relational Basics: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Relational Basics in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Database Design,Beginner,"database-design,relational,easy","{""step_1"": ""Review the theoretical foundations of Relational Basics within Database Design."", ""step_2"": ""Implement a concise example demonstrating Relational Basics."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Relational Basics in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=aa598d322e2,https://dev.mysql.com/doc/#f6ed5e98
database-design-er-modeling,ER Modeling: Easy Practical Task 2,"A easy-level, course-ready exercise focused on ER Modeling in Database Design. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Database Design,Beginner,"database-design,er,easy","{""step_1"": ""Review the theoretical foundations of ER Modeling within Database Design."", ""step_2"": ""Implement a concise example demonstrating ER Modeling."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for ER Modeling in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f45d3282a84,https://dev.mysql.com/doc/#6decb5d9
database-design-normalization-easy,Normalization: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Normalization in Database Design. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Database Design,Beginner,"database-design,normalization,easy","{""step_1"": ""Review the theoretical foundations of Normalization within Database Design."", ""step_2"": ""Implement a concise example demonstrating Normalization."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Normalization in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5ac0a17f734,https://dev.mysql.com/doc/#c13f8c76
database-design-sql-selects,SQL Selects: Easy Practical Task 4,"A easy-level, course-ready exercise focused on SQL Selects in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Database Design,Beginner,"database-design,sql,easy","{""step_1"": ""Review the theoretical foundations of SQL Selects within Database Design."", ""step_2"": ""Implement a concise example demonstrating SQL Selects."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for SQL Selects in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=02766a00ed0,https://dev.mysql.com/doc/#3cffe21c
database-design-joins-easy,Joins: Easy Practical Task 5,"A easy-level, course-ready exercise focused on Joins in Database Design. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Database Design,Beginner,"database-design,joins,easy","{""step_1"": ""Review the theoretical foundations of Joins within Database Design."", ""step_2"": ""Implement a concise example demonstrating Joins."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Joins in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=bd650d8ebb0,https://dev.mysql.com/doc/#426b7c59
database-design-indexes-easy,Indexes: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Indexes in Database Design. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Database Design,Beginner,"database-design,indexes,easy","{""step_1"": ""Review the theoretical foundations of Indexes within Database Design."", ""step_2"": ""Implement a concise example demonstrating Indexes."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Indexes in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f8bed980ea0,https://dev.mysql.com/doc/#6d7a80e9
database-design-transactions-acid,Transactions & ACID: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Transactions & ACID in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Database Design,Beginner,"database-design,transactions,easy","{""step_1"": ""Review the theoretical foundations of Transactions & ACID within Database Design."", ""step_2"": ""Implement a concise example demonstrating Transactions & ACID."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Transactions & ACID in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=e4606e8369e,https://dev.mysql.com/doc/#98204ab3
database-design-views-easy,Views: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Views in Database Design. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Database Design,Beginner,"database-design,views,easy","{""step_1"": ""Review the theoretical foundations of Views within Database Design."", ""step_2"": ""Implement a concise example demonstrating Views."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Views in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=789e6ce9237,https://dev.mysql.com/doc/#e2f40d01
database-design-stored-procedures,Stored Procedures: Easy Practical Task 9,"A easy-level, course-ready exercise focused on Stored Procedures in Database Design. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Database Design,Beginner,"database-design,stored,easy","{""step_1"": ""Review the theoretical foundations of Stored Procedures within Database Design."", ""step_2"": ""Implement a concise example demonstrating Stored Procedures."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Stored Procedures in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=185782ce6c8,https://dev.mysql.com/doc/#a8808611
database-design-triggers-easy,Triggers: Easy Practical Task 10,"A easy-level, course-ready exercise focused on Triggers in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Database Design,Beginner,"database-design,triggers,easy","{""step_1"": ""Review the theoretical foundations of Triggers within Database Design."", ""step_2"": ""Implement a concise example demonstrating Triggers."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Triggers in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=b466d8e9bb2,https://dev.mysql.com/doc/#8602df42
database-design-normalization-medium,Normalization: Medium Practical Task 3,"A medium-level, course-ready exercise focused on Normalization in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Database Design,Intermediate,"database-design,normalization,medium","{""step_1"": ""Review the theoretical foundations of Normalization within Database Design."", ""step_2"": ""Implement a concise example demonstrating Normalization."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Normalization in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=e50f85a5cbd,https://dev.mysql.com/doc/#3b5912fe
database-design-joins-medium,Joins: Medium Practical Task 5,"A medium-level, course-ready exercise focused on Joins in Database Design. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,Database Design,Intermediate,"database-design,joins,medium","{""step_1"": ""Review the theoretical foundations of Joins within Database Design."", ""step_2"": ""Implement a concise example demonstrating Joins."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Joins in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=fb558ec96a7,https://dev.mysql.com/doc/#cf145cee
database-design-indexes-medium,Indexes: Medium Practical Task 6,"A medium-level, course-ready exercise focused on Indexes in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Database Design,Intermediate,"database-design,indexes,medium","{""step_1"": ""Review the theoretical foundations of Indexes within Database Design."", ""step_2"": ""Implement a concise example demonstrating Indexes."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Indexes in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5f6876f683a,https://dev.mysql.com/doc/#62b087e6
database-design-views-medium,Views: Medium Practical Task 8,"A medium-level, course-ready exercise focused on Views in Database Design. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,Database Design,Intermediate,"database-design,views,medium","{""step_1"": ""Review the theoretical foundations of Views within Database Design."", ""step_2"": ""Implement a concise example demonstrating Views."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Views in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=3a8774a2653,https://dev.mysql.com/doc/#72f4efa5
database-design-triggers-medium,Triggers: Medium Practical Task 10,"A medium-level, course-ready exercise focused on Triggers in Database Design. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,Database Design,Intermediate,"database-design,triggers,medium","{""step_1"": ""Review the theoretical foundations of Triggers within Database Design."", ""step_2"": ""Implement a concise example demonstrating Triggers."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Triggers in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=18851f92d7f,https://dev.mysql.com/doc/#9bb1fc8a
database-design-normalization-hard,Normalization: Hard Practical Task 3,"A hard-level, course-ready exercise focused on Normalization in Database Design. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Database Design,Advanced,"database-design,normalization,hard","{""step_1"": ""Review the theoretical foundations of Normalization within Database Design."", ""step_2"": ""Implement a concise example demonstrating Normalization."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Normalization in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=59da187c794,https://dev.mysql.com/doc/#58558ac1
database-design-joins-hard,Joins: Hard Practical Task 5,"A hard-level, course-ready exercise focused on Joins in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,Database Design,Advanced,"database-design,joins,hard","{""step_1"": ""Review the theoretical foundations of Joins within Database Design."", ""step_2"": ""Implement a concise example demonstrating Joins."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Joins in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=6fcde886ae0,https://dev.mysql.com/doc/#657c6960
database-design-indexes-hard,Indexes: Hard Practical Task 6,"A hard-level, course-ready exercise focused on Indexes in Database Design. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Database Design,Advanced,"database-design,indexes,hard","{""step_1"": ""Review the theoretical foundations of Indexes within Database Design."", ""step_2"": ""Implement a concise example demonstrating Indexes."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Indexes in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5c3686f6f2a,https://dev.mysql.com/doc/#b32b1083
database-design-views-hard,Views: Hard Practical Task 8,"A hard-level, course-ready exercise focused on Views in Database Design. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,Database Design,Advanced,"database-design,views,hard","{""step_1"": ""Review the theoretical foundations of Views within Database Design."", ""step_2"": ""Implement a concise example demonstrating Views."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Views in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=0a043255a41,https://dev.mysql.com/doc/#5a298d91
database-design-triggers-hard,Triggers: Hard Practical Task 10,"A hard-level, course-ready exercise focused on Triggers in Database Design. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Database Design,Advanced,"database-design,triggers,hard","{""step_1"": ""Review the theoretical foundations of Triggers within Database Design."", ""step_2"": ""Implement a concise example demonstrating Triggers."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Triggers in Database Design."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f98800bb805,https://dev.mysql.com/doc/#9c689c99
cloud-computing-cloud-models,Cloud Models: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Cloud Models in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,cloud,easy","{""step_1"": ""Review the theoretical foundations of Cloud Models within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Cloud Models."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Cloud Models in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=54974c7f238,https://docs.aws.amazon.com/#fb1bc697
cloud-computing-compute-services,Compute Services: Easy Practical Task 2,"A easy-level, course-ready exercise focused on Compute Services in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,compute,easy","{""step_1"": ""Review the theoretical foundations of Compute Services within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Compute Services."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Compute Services in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=1d60598a7d5,https://docs.aws.amazon.com/#d3f13ef3
cloud-computing-storage-easy,Storage: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Storage in Cloud Computing. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,storage,easy","{""step_1"": ""Review the theoretical foundations of Storage within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Storage."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Storage in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=7af2b10cda6,https://docs.aws.amazon.com/#18143aa2
cloud-computing-networking-easy,Networking: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Networking in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,networking,easy","{""step_1"": ""Review the theoretical foundations of Networking within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Networking."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Networking in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=6b7ba54777b,https://docs.aws.amazon.com/#f4188689
cloud-computing-iam-easy,IAM: Easy Practical Task 5,"A easy-level, course-ready exercise focused on IAM in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,iam,easy","{""step_1"": ""Review the theoretical foundations of IAM within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating IAM."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for IAM in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=8780ebef5f1,https://docs.aws.amazon.com/#e9a78aff
cloud-computing-serverless-easy,Serverless: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Serverless in Cloud Computing. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,serverless,easy","{""step_1"": ""Review the theoretical foundations of Serverless within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Serverless."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Serverless in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=58c54bbc913,https://docs.aws.amazon.com/#ac710db4
cloud-computing-containers-easy,Containers: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Containers in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,containers,easy","{""step_1"": ""Review the theoretical foundations of Containers within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Containers."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Containers in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=dbc7c6fd53e,https://docs.aws.amazon.com/#5325386a
cloud-computing-orchestration-easy,Orchestration: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Orchestration in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,orchestration,easy","{""step_1"": ""Review the theoretical foundations of Orchestration within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Orchestration."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Orchestration in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=dd7c8057a54,https://docs.aws.amazon.com/#03bfb940
cloud-computing-monitoring-easy,Monitoring: Easy Practical Task 9,"A easy-level, course-ready exercise focused on Monitoring in Cloud Computing. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,monitoring,easy","{""step_1"": ""Review the theoretical foundations of Monitoring within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Monitoring."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Monitoring in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=c10ed3ea1ad,https://docs.aws.amazon.com/#ca94e848
cloud-computing-cost-management,Cost Management: Easy Practical Task 10,"A easy-level, course-ready exercise focused on Cost Management in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Cloud Computing,Beginner,"cloud-computing,cost,easy","{""step_1"": ""Review the theoretical foundations of Cost Management within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Cost Management."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Cost Management in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=3c89113c024,https://docs.aws.amazon.com/#34ee4cb1
cloud-computing-storage-medium,Storage: Medium Practical Task 3,"A medium-level, course-ready exercise focused on Storage in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Cloud Computing,Intermediate,"cloud-computing,storage,medium","{""step_1"": ""Review the theoretical foundations of Storage within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Storage."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Storage in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=67176d6ccec,https://docs.aws.amazon.com/#e410059f
cloud-computing-networking-medium,Networking: Medium Practical Task 4,"A medium-level, course-ready exercise focused on Networking in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,Cloud Computing,Intermediate,"cloud-computing,networking,medium","{""step_1"": ""Review the theoretical foundations of Networking within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Networking."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Networking in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=1b97527a7df,https://docs.aws.amazon.com/#ff94cd3f
cloud-computing-iam-medium,IAM: Medium Practical Task 5,"A medium-level, course-ready exercise focused on IAM in Cloud Computing. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,Cloud Computing,Intermediate,"cloud-computing,iam,medium","{""step_1"": ""Review the theoretical foundations of IAM within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating IAM."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for IAM in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=58dcda09cb2,https://docs.aws.amazon.com/#d0f2e7f0
